Date	From	To	Flight_Number	Airline	Distance	Duration	Seat	Seat_Type	Class	Reason	Plane	Registration	Trip	Note	From_OID	To_OID	Airline_OID	Plane_OID
- -	ADD	BKK	Singapore Airlines (SQ)	Singapore Airlines	4196	8:53					763							
			Direct	1107	3885	4435												
- -	ADL	SIN	Singapore Airlines (SQ)	Singapore Airlines	3354	7:12					333							
			Direct	3341	3316	4435												
- -	AKL	SIN	Singapore Airlines (SQ)	Singapore Airlines	5221	10:56					77W 772							
			Direct	2006	3316	4435												
- -	AMD	SIN	Singapore Airlines (SQ)	Singapore Airlines	2581	5:39					333							
			Direct	2994	3316	4435												
- -	AMS	SIN	Singapore Airlines (SQ)	Singapore Airlines	6529	13:33					772 77W							
			Direct	580	3316	4435												
- -	BCN	GRU	Singapore Airlines (SQ)	Singapore Airlines	5443	11:23					77W							
			Direct	1218	2564	4435												
- -	BCN	MXP	Singapore Airlines (SQ)	Singapore Airlines	447	1:23					77W							
			Direct	1218	1524	4435												
- -	BCN	SIN	Singapore Airlines (SQ)	Singapore Airlines	6768	14:02					77W							
			Direct	1218	3316	4435												
- -	BDO	SIN	Singapore Airlines (SQ)	Singapore Airlines	620	1:44					319							
			Codeshare	3896	3316	4435												
- -	BKI	SIN	Singapore Airlines (SQ)	Singapore Airlines	889	2:16					320 319							
			Codeshare	3269	3316	4435												
- -	BKK	ADD	Singapore Airlines (SQ)	Singapore Airlines	4196	8:53					763							
			Direct	3885	1107	4435												
- -	BKK	SIN	Singapore Airlines (SQ)	Singapore Airlines	879	2:15					772 333 763							
			Direct	3885	3316	4435												
- -	BLR	SIN	Singapore Airlines (SQ)	Singapore Airlines	1974	4:26					772							
			Direct	3131	3316	4435												
- -	BNE	CHC	Singapore Airlines (SQ)	Singapore Airlines	1551	3:36					320							
			Codeshare	3320	2009	4435												
- -	BNE	CNJ	Singapore Airlines (SQ)	Singapore Airlines	919	2:20					E90							
			Direct	3320	6255	4435												
- -	BNE	SIN	Singapore Airlines (SQ)	Singapore Airlines	3814	8:07					333							
			Direct	3320	3316	4435												
- -	BOM	SIN	Singapore Airlines (SQ)	Singapore Airlines	2435	5:22					77W 772							
			Direct	2997	3316	4435												
- -	BPN	SIN	Singapore Airlines (SQ)	Singapore Airlines	908	2:18					319 320							
			Codeshare	3919	3316	4435												
- -	BWN	SIN	Singapore Airlines (SQ)	Singapore Airlines	793	2:05					773 320							
			Direct	3272	3316	4435												
- -	CAI	DXB	Singapore Airlines (SQ)	Singapore Airlines	1500	3:30					333							
			Direct	1128	2188	4435												
- -	CAN	SIN	Singapore Airlines (SQ)	Singapore Airlines	1644	3:47					333							
			Direct	3370	3316	4435												
- -	CCU	SIN	Singapore Airlines (SQ)	Singapore Airlines	1803	4:06					333							
			Direct	3043	3316	4435												
- -	CDG	SIN	Singapore Airlines (SQ)	Singapore Airlines	6660	13:49					388							
			Direct	1382	3316	4435												
- -	CEB	DVO	Singapore Airlines (SQ)	Singapore Airlines	247	0:59					320							
			Codeshare	4206	4090	4435												
- -	CEB	SIN	Singapore Airlines (SQ)	Singapore Airlines	1504	3:30					320 738							
			Codeshare	4206	3316	4435												
- -	CGK	SIN	Singapore Airlines (SQ)	Singapore Airlines	547	1:35					772 773							
			Direct	3275	3316	4435												
- -	CHC	SIN	Singapore Airlines (SQ)	Singapore Airlines	5218	10:56					772							
			Direct	2009	3316	4435												
- -	CJB	SIN	Singapore Airlines (SQ)	Singapore Airlines	1964	4:25					320							
			Codeshare	3135	3316	4435												
- -	CKG	SIN	Singapore Airlines (SQ)	Singapore Airlines	1966	4:25					320 319							
			Codeshare	3393	3316	4435												
- -	CMB	SIN	Singapore Airlines (SQ)	Singapore Airlines	1707	3:54					333							
			Direct	3024	3316	4435												
- -	CNJ	BNE	Singapore Airlines (SQ)	Singapore Airlines	919	2:20					E90							
			Direct	6255	3320	4435												
- -	CNX	SIN	Singapore Airlines (SQ)	Singapore Airlines	1250	3:00					320							
			Codeshare	3931	3316	4435												
- -	COK	SIN	Singapore Airlines (SQ)	Singapore Airlines	1988	4:28					320 738 319							
			Codeshare	3136	3316	4435												
- -	CPH	SIN	Singapore Airlines (SQ)	Singapore Airlines	6190	12:52					772							
			Direct	609	3316	4435												
- -	CPT	JNB	Singapore Airlines (SQ)	Singapore Airlines	789	2:04					772							
			Direct	797	813	4435												
- -	CSX	SIN	Singapore Airlines (SQ)	Singapore Airlines	1950	4:24					320							
			Codeshare	3371	3316	4435												
- -	CTU	SIN	Singapore Airlines (SQ)	Singapore Airlines	2018	4:32					320 319							
			Codeshare	3395	3316	4435												
- -	DAC	SIN	Singapore Airlines (SQ)	Singapore Airlines	1799	4:05					333							
			Direct	3076	3316	4435												
- -	DAD	REP	Singapore Airlines (SQ)	Singapore Airlines	344	1:11					738							
			Codeshare	3196	3035	4435												
- -	DAD	SIN	Singapore Airlines (SQ)	Singapore Airlines	1054	2:36					738 320							
			Codeshare	3196	3316	4435												
- -	DEL	SIN	Singapore Airlines (SQ)	Singapore Airlines	2583	5:39					772 773							
			Direct	3093	3316	4435												
- -	DME	IAH	Singapore Airlines (SQ)	Singapore Airlines	5919	12:20					77W							
			Direct	4029	3550	4435												
- -	DME	SIN	Singapore Airlines (SQ)	Singapore Airlines	5217	10:56					77W							
			Direct	4029	3316	4435												
- -	DPS	SIN	Singapore Airlines (SQ)	Singapore Airlines	1038	2:34					772 738							
			Direct	3940	3316	4435												
- -	DRW	SIN	Singapore Airlines (SQ)	Singapore Airlines	2073	4:38					320							
			Codeshare	3999	3316	4435												
- -	DVO	CEB	Singapore Airlines (SQ)	Singapore Airlines	247	0:59					320							
			Codeshare	4090	4206	4435												
- -	DVO	SIN	Singapore Airlines (SQ)	Singapore Airlines	1542	3:35					320 738							
			Codeshare	4090	3316	4435												
- -	DXB	CAI	Singapore Airlines (SQ)	Singapore Airlines	1500	3:30					333							
			Direct	2188	1128	4435												
- -	DXB	SIN	Singapore Airlines (SQ)	Singapore Airlines	3630	7:45					77W 333							
			Direct	2188	3316	4435												
- -	FCO	SIN	Singapore Airlines (SQ)	Singapore Airlines	6243	12:59					772							
			Direct	1555	3316	4435												
- -	FRA	JFK	Singapore Airlines (SQ)	Singapore Airlines	3843	8:11					388							
			Direct	340	3797	4435												
- -	FRA	LYS	Singapore Airlines (SQ)	Singapore Airlines	338	1:10					32A 733 735							
			Codeshare	340	1335	4435												
- -	FRA	SIN	Singapore Airlines (SQ)	Singapore Airlines	6383	13:15					388 77W							
			Direct	340	3316	4435												
- -	FUK	SIN	Singapore Airlines (SQ)	Singapore Airlines	2807	6:06					333							
			Direct	2305	3316	4435												
- -	GRU	BCN	Singapore Airlines (SQ)	Singapore Airlines	5443	11:23					77W							
			Direct	2564	1218	4435												
- -	HAN	SIN	Singapore Airlines (SQ)	Singapore Airlines	1377	3:15					333							
			Direct	3199	3316	4435												
- -	HKG	SFO	Singapore Airlines (SQ)	Singapore Airlines	6910	14:19					77W							
			Direct	3077	3469	4435												
- -	HKG	SIN	Singapore Airlines (SQ)	Singapore Airlines	1593	3:41					77W 772 388							
			Direct	3077	3316	4435												
- -	HKT	SIN	Singapore Airlines (SQ)	Singapore Airlines	608	1:42					320 738 319							
			Codeshare	3179	3316	4435												
- -	HND	SIN	Singapore Airlines (SQ)	Singapore Airlines	3291	7:04					333 773							
			Direct	2359	3316	4435												
- -	IAH	DME	Singapore Airlines (SQ)	Singapore Airlines	5919	12:20					77W							
			Direct	3550	4029	4435												
- -	ICN	SFO	Singapore Airlines (SQ)	Singapore Airlines	5642	11:47					77W							
			Direct	3930	3469	4435												
- -	ICN	SIN	Singapore Airlines (SQ)	Singapore Airlines	2873	6:14					333 77W							
			Direct	3930	3316	4435												
- -	IST	SIN	Singapore Airlines (SQ)	Singapore Airlines	5383	11:15					772							
			Direct	1701	3316	4435												
- -	JED	RUH	Singapore Airlines (SQ)	Singapore Airlines	529	1:33					333							
			Direct	2072	2082	4435												
- -	JFK	FRA	Singapore Airlines (SQ)	Singapore Airlines	3843	8:11					388							
			Direct	3797	340	4435												
- -	JNB	CPT	Singapore Airlines (SQ)	Singapore Airlines	789	2:04					772							
			Direct	813	797	4435												
- -	JNB	SIN	Singapore Airlines (SQ)	Singapore Airlines	5375	11:15					772							
			Direct	813	3316	4435												
- -	JOG	SIN	Singapore Airlines (SQ)	Singapore Airlines	771	2:02					320							
			Codeshare	3898	3316	4435												
- -	KCH	SIN	Singapore Airlines (SQ)	Singapore Airlines	438	1:22					738 319							
			Codeshare	3263	3316	4435												
- -	KIX	SIN	Singapore Airlines (SQ)	Singapore Airlines	3044	6:35					333							
			Direct	3992	3316	4435												
- -	KMG	SIN	Singapore Airlines (SQ)	Singapore Airlines	1641	3:46					320 319							
			Codeshare	3382	3316	4435												
- -	KTM	SIN	Singapore Airlines (SQ)	Singapore Airlines	2197	4:53					320							
			Codeshare	3125	3316	4435												
- -	KUL	SIN	Singapore Airlines (SQ)	Singapore Airlines	184	0:52					333							
			Direct	3304	3316	4435												
- -	LAX	NRT	Singapore Airlines (SQ)	Singapore Airlines	5436	11:22					388							
			Direct	3484	2279	4435												
- -	LAX	ORD	Singapore Airlines (SQ)	Singapore Airlines	1740	3:58					320							
			Codeshare	3484	3830	4435												
- -	LGK	SIN	Singapore Airlines (SQ)	Singapore Airlines	452	1:24					320 319							
			Codeshare	3305	3316	4435												
- -	LHR	SIN	Singapore Airlines (SQ)	Singapore Airlines	6758	14:00					388 77W							
			Direct	507	3316	4435												
- -	LOP	SIN	Singapore Airlines (SQ)	Singapore Airlines	1096	2:41					319 320							
			Codeshare	8401	3316	4435												
- -	MAA	SIN	Singapore Airlines (SQ)	Singapore Airlines	1816	4:07					333							
			Direct	3144	3316	4435												
- -	MAN	MUC	Singapore Airlines (SQ)	Singapore Airlines	701	1:54					77W							
			Direct	478	346	4435												
- -	MDC	SIN	Singapore Airlines (SQ)	Singapore Airlines	1445	3:23					320							
			Codeshare	3250	3316	4435												
- -	MEL	CHC	Singapore Airlines (SQ)	Singapore Airlines	1498	3:29					320							
			Codeshare	3339	2009	4435												
- -	MEL	SIN	Singapore Airlines (SQ)	Singapore Airlines	3746	7:59					77W 773 388 333							
			Direct	3339	3316	4435												
- -	MLE	SIN	Singapore Airlines (SQ)	Singapore Airlines	2110	4:43					333							
			Direct	3156	3316	4435												
- -	MNL	SIN	Singapore Airlines (SQ)	Singapore Airlines	1474	3:26					772 333							
			Direct	2397	3316	4435												
- -	MUC	MAN	Singapore Airlines (SQ)	Singapore Airlines	701	1:54					77W							
			Direct	346	478	4435												
- -	MUC	SIN	Singapore Airlines (SQ)	Singapore Airlines	6246	12:59					77W							
			Direct	346	3316	4435												
- -	MXP	BCN	Singapore Airlines (SQ)	Singapore Airlines	447	1:23					77W							
			Direct	1524	1218	4435												
- -	MXP	SIN	Singapore Airlines (SQ)	Singapore Airlines	6402	13:18					77W							
			Direct	1524	3316	4435												
- -	NGO	SIN	Singapore Airlines (SQ)	Singapore Airlines	3130	6:45					333							
			Direct	3942	3316	4435												
- -	NRT	LAX	Singapore Airlines (SQ)	Singapore Airlines	5436	11:22					388							
			Direct	2279	3484	4435												
- -	NRT	SIN	Singapore Airlines (SQ)	Singapore Airlines	3327	7:09					77W 388							
			Direct	2279	3316	4435												
- -	PEK	SIN	Singapore Airlines (SQ)	Singapore Airlines	2788	6:04					773 333 772 77W							
			Direct	3364	3316	4435												
- -	PEN	SIN	Singapore Airlines (SQ)	Singapore Airlines	374	1:14					320 738 319							
			Codeshare	3308	3316	4435												
- -	PER	SIN	Singapore Airlines (SQ)	Singapore Airlines	2428	5:21					333 772							
			Direct	3351	3316	4435												
- -	PKU	SIN	Singapore Airlines (SQ)	Singapore Airlines	186	0:52					319							
			Codeshare	3273	3316	4435												
- -	PLM	SIN	Singapore Airlines (SQ)	Singapore Airlines	297	1:05					319							
			Codeshare	3289	3316	4435												
- -	PNH	SIN	Singapore Airlines (SQ)	Singapore Airlines	706	1:54					320							
			Codeshare	3034	3316	4435												
- -	PVG	SIN	Singapore Airlines (SQ)	Singapore Airlines	2363	5:13					388 772 77W							
			Direct	3406	3316	4435												
- -	REP	DAD	Singapore Airlines (SQ)	Singapore Airlines	344	1:11					738							
			Codeshare	3035	3196	4435												
- -	REP	PNH	Singapore Airlines (SQ)	Singapore Airlines	146	0:47					320							
			Codeshare	3035	3034	4435												
- -	REP	SIN	Singapore Airlines (SQ)	Singapore Airlines	832	2:09					738 320							
			Codeshare	3035	3316	4435												
- -	RGN	SIN	Singapore Airlines (SQ)	Singapore Airlines	1199	2:53					333							
			Direct	3239	3316	4435												
- -	RUH	JED	Singapore Airlines (SQ)	Singapore Airlines	529	1:33					333							
			Direct	2082	2072	4435												
- -	RUH	SIN	Singapore Airlines (SQ)	Singapore Airlines	4144	8:47					333							
			Direct	2082	3316	4435												
- -	SFO	HKG	Singapore Airlines (SQ)	Singapore Airlines	6910	14:19					77W							
			Direct	3469	3077	4435												
- -	SFO	ICN	Singapore Airlines (SQ)	Singapore Airlines	5642	11:47					77W							
			Direct	3469	3930	4435												
- -	SGN	SIN	Singapore Airlines (SQ)	Singapore Airlines	678	1:51					772 333							
			Direct	3205	3316	4435												
- -	SIN	ADL	Singapore Airlines (SQ)	Singapore Airlines	3354	7:12					333							
			Direct	3316	3341	4435												
- -	SIN	AKL	Singapore Airlines (SQ)	Singapore Airlines	5221	10:56					772 77W							
			Direct	3316	2006	4435												
- -	SIN	AMD	Singapore Airlines (SQ)	Singapore Airlines	2581	5:39					333							
			Direct	3316	2994	4435												
- -	SIN	AMS	Singapore Airlines (SQ)	Singapore Airlines	6529	13:33					77W 772							
			Direct	3316	580	4435												
- -	SIN	BCN	Singapore Airlines (SQ)	Singapore Airlines	6768	14:02					77W							
			Direct	3316	1218	4435												
- -	SIN	BDO	Singapore Airlines (SQ)	Singapore Airlines	620	1:44					319							
			Codeshare	3316	3896	4435												
- -	SIN	BKI	Singapore Airlines (SQ)	Singapore Airlines	889	2:16					320 319							
			Codeshare	3316	3269	4435												
- -	SIN	BKK	Singapore Airlines (SQ)	Singapore Airlines	879	2:15					772 333 763							
			Direct	3316	3885	4435												
- -	SIN	BLR	Singapore Airlines (SQ)	Singapore Airlines	1974	4:26					772							
			Direct	3316	3131	4435												
- -	SIN	BNE	Singapore Airlines (SQ)	Singapore Airlines	3814	8:07					333							
			Direct	3316	3320	4435												
- -	SIN	BOM	Singapore Airlines (SQ)	Singapore Airlines	2435	5:22					772 77W							
			Direct	3316	2997	4435												
- -	SIN	BPN	Singapore Airlines (SQ)	Singapore Airlines	908	2:18					319 320							
			Codeshare	3316	3919	4435												
- -	SIN	BWN	Singapore Airlines (SQ)	Singapore Airlines	793	2:05					773 320							
			Direct	3316	3272	4435												
- -	SIN	CAN	Singapore Airlines (SQ)	Singapore Airlines	1644	3:47					333							
			Direct	3316	3370	4435												
- -	SIN	CCU	Singapore Airlines (SQ)	Singapore Airlines	1803	4:06					333							
			Direct	3316	3043	4435												
- -	SIN	CDG	Singapore Airlines (SQ)	Singapore Airlines	6660	13:49					388							
			Direct	3316	1382	4435												
- -	SIN	CEB	Singapore Airlines (SQ)	Singapore Airlines	1504	3:30					320 738							
			Codeshare	3316	4206	4435												
- -	SIN	CGK	Singapore Airlines (SQ)	Singapore Airlines	547	1:35					773 772							
			Direct	3316	3275	4435												
- -	SIN	CHC	Singapore Airlines (SQ)	Singapore Airlines	5218	10:56					772							
			Direct	3316	2009	4435												
- -	SIN	CJB	Singapore Airlines (SQ)	Singapore Airlines	1964	4:25					320							
			Codeshare	3316	3135	4435												
- -	SIN	CKG	Singapore Airlines (SQ)	Singapore Airlines	1966	4:25					320 319							
			Codeshare	3316	3393	4435												
- -	SIN	CMB	Singapore Airlines (SQ)	Singapore Airlines	1707	3:54					333							
			Direct	3316	3024	4435												
- -	SIN	CNX	Singapore Airlines (SQ)	Singapore Airlines	1250	3:00					320							
			Codeshare	3316	3931	4435												
