Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,ABJ,BRU,Air Canada (AC),Air Canada,3188,06:52,,,,,333,,,"1 stops",253,302,330
- -,ABJ,OUA,Air Canada (AC),Air Canada,516,01:31,,,,,332,,,"Codeshare",253,246,330
- -,ADD,JED,Air Canada (AC),Air Canada,877,02:15,,,,,333,,,"Codeshare",1107,2072,330
- -,AMS,CPH,Air Canada (AC),Air Canada,393,01:17,,,,,319 321,,,"Codeshare",580,609,330
- -,ANU,YYZ,Air Canada (AC),Air Canada,2107,04:42,,,,,320,,,"Direct",2874,193,330
- -,ATL,DEN,Air Canada (AC),Air Canada,1196,02:53,,,,,CR7,,,"Codeshare",3682,3751,330
- -,ATL,YYZ,Air Canada (AC),Air Canada,739,01:58,,,,,CRA CRJ,,,"Codeshare",3682,193,330
- -,AUA,YYZ,Air Canada (AC),Air Canada,2227,04:57,,,,,319,,,"Direct",2895,193,330
- -,AUH,YYZ,Air Canada (AC),Air Canada,6907,14:18,,,,,77W,,,"Direct",2179,193,330
- -,AZS,YUL,Air Canada (AC),Air Canada,1823,04:08,,,,,320,,,"Direct",5810,146,330
- -,AZS,YYZ,Air Canada (AC),Air Canada,1780,04:03,,,,,319,,,"Direct",5810,193,330
- -,BAH,DOH,Air Canada (AC),Air Canada,91,00:40,,,,,333,,,"Codeshare",2057,11051,330
- -,BCN,YYZ,Air Canada (AC),Air Canada,3985,08:28,,,,,763,,,"Codeshare",1218,193,330
- -,BDA,YYZ,Air Canada (AC),Air Canada,1124,02:44,,,,,319,,,"Direct",4069,193,330
- -,BDL,YUL,Air Canada (AC),Air Canada,249,00:59,,,,,BEH,,,"Codeshare",3825,146,330
- -,BDL,YYZ,Air Canada (AC),Air Canada,371,01:14,,,,,BEH,,,"Codeshare",3825,193,330
- -,BGI,YYZ,Air Canada (AC),Air Canada,2427,05:21,,,,,319,,,"Direct",2875,193,330
- -,BJM,NBO,Air Canada (AC),Air Canada,542,01:35,,,,,332,,,"Codeshare",1120,4059,330
- -,BKK,ICN,Air Canada (AC),Air Canada,2278,05:03,,,,,333 777,,,"Codeshare",3885,3930,330
- -,BKK,NRT,Air Canada (AC),Air Canada,2887,06:16,,,,,777,,,"Codeshare",3885,2279,330
- -,BNA,YYZ,Air Canada (AC),Air Canada,640,01:46,,,,,CRJ,,,"Codeshare",3690,193,330
- -,BOG,YYZ,Air Canada (AC),Air Canada,2712,05:55,,,,,763,,,"Direct",2709,193,330
- -,BOS,YHZ,Air Canada (AC),Air Canada,412,01:19,,,,,CRJ,,,"Codeshare",3448,73,330
- -,BOS,YOW,Air Canada (AC),Air Canada,309,01:07,,,,,DH1,,,"Codeshare",3448,100,330
- -,BOS,YUL,Air Canada (AC),Air Canada,253,01:00,,,,,CRJ DH3,,,"Codeshare",3448,146,330
- -,BOS,YYZ,Air Canada (AC),Air Canada,444,01:23,,,,,E90 E75,,,"Direct",3448,193,330
- -,BRU,BJM,Air Canada (AC),Air Canada,4021,08:32,,,,,332,,,"Codeshare",302,1120,330
- -,BRU,COO,Air Canada (AC),Air Canada,3078,06:39,,,,,332,,,"Codeshare",302,245,330
- -,BRU,DKR,Air Canada (AC),Air Canada,2780,06:03,,,,,333,,,"Codeshare",302,1084,330
- -,BRU,DLA,Air Canada (AC),Air Canada,3252,07:00,,,,,333,,,"Codeshare",302,897,330
- -,BRU,KGL,Air Canada (AC),Air Canada,3950,08:24,,,,,332,,,"Codeshare",302,1165,330
- -,BRU,LAD,Air Canada (AC),Air Canada,4159,08:49,,,,,333,,,"Codeshare",302,951,330
- -,BRU,OUA,Air Canada (AC),Air Canada,2683,05:51,,,,,333,,,"Codeshare",302,246,330
- -,BRU,YUL,Air Canada (AC),Air Canada,3449,07:23,,,,,333,,,"Direct",302,146,330
- -,BRU,YYZ,Air Canada (AC),Air Canada,3753,08:00,,,,,332,,,"Codeshare",302,193,330
- -,BWI,YYZ,Air Canada (AC),Air Canada,346,01:11,,,,,DH1,,,"Codeshare",3849,193,330
- -,CCC,YYZ,Air Canada (AC),Air Canada,1466,03:25,,,,,319,,,"Direct",1901,193,330
- -,CDG,YUL,Air Canada (AC),Air Canada,3430,07:21,,,,,77W,,,"Direct",1382,146,330
- -,CDG,YYZ,Air Canada (AC),Air Canada,3738,07:58,,,,,77W,,,"Direct",1382,193,330
- -,CKY,DKR,Air Canada (AC),Air Canada,442,01:23,,,,,333,,,"Codeshare",4162,1084,330
- -,CLE,YYZ,Air Canada (AC),Air Canada,192,00:53,,,,,DH1,,,"Codeshare",3486,193,330
- -,CLT,YYZ,Air Canada (AC),Air Canada,588,01:40,,,,,CRJ,,,"Codeshare",3876,193,330
- -,CMH,YYZ,Air Canada (AC),Air Canada,304,01:06,,,,,DH1,,,"Codeshare",3759,193,330
- -,COO,ABJ,Air Canada (AC),Air Canada,440,01:22,,,,,332,,,"Codeshare",245,253,330
- -,CPH,AMS,Air Canada (AC),Air Canada,393,01:17,,,,,319,,,"Codeshare",609,580,330
- -,CPH,OSL,Air Canada (AC),Air Canada,321,01:08,,,,,321,,,"Codeshare",609,644,330
- -,CPH,VNO,Air Canada (AC),Air Canada,502,01:30,,,,,M80,,,"Codeshare",609,3959,330
- -,CPH,WAW,Air Canada (AC),Air Canada,413,01:19,,,,,M80,,,"Codeshare",609,679,330
- -,CPH,YYZ,Air Canada (AC),Air Canada,3893,08:17,,,,,763,,,"Direct",609,193,330
- -,CUN,YUL,Air Canada (AC),Air Canada,1844,04:11,,,,,319,,,"Direct",1852,146,330
- -,CUN,YYC,Air Canada (AC),Air Canada,2540,05:34,,,,,319,,,"Direct",1852,178,330
- -,CUN,YYZ,Air Canada (AC),Air Canada,1617,03:44,,,,,319,,,"Direct",1852,193,330
- -,CVG,YYZ,Air Canada (AC),Air Canada,412,01:19,,,,,CRJ,,,"Codeshare",3488,193,330
- -,CZM,YUL,Air Canada (AC),Air Canada,1878,04:15,,,,,319,,,"Direct",1800,146,330
- -,DCA,YOW,Air Canada (AC),Air Canada,452,01:24,,,,,CRJ,,,"Codeshare",3520,100,330
- -,DCA,YUL,Air Canada (AC),Air Canada,487,01:28,,,,,CRJ,,,"Codeshare",3520,146,330
- -,DCA,YYZ,Air Canada (AC),Air Canada,359,01:13,,,,,E75,,,"Direct",3520,193,330
- -,DEL,BRU,Air Canada (AC),Air Canada,3974,08:26,,,,,332,,,"Codeshare",3093,302,330
- -,DEN,ATL,Air Canada (AC),Air Canada,1196,02:53,,,,,CR7,,,"Codeshare",3751,3682,330
- -,DEN,MSY,Air Canada (AC),Air Canada,1060,02:37,,,,,738 739,,,"Codeshare",3751,3861,330
- -,DEN,YEG,Air Canada (AC),Air Canada,1018,02:32,,,,,CRJ 319 E70,,,"Codeshare",3751,49,330
- -,DEN,YMM,Air Canada (AC),Air Canada,1196,02:53,,,,,CR7,,,"Codeshare",3751,90,330
- -,DEN,YQR,Air Canada (AC),Air Canada,729,01:57,,,,,CRJ,,,"Codeshare",3751,120,330
- -,DEN,YUL,Air Canada (AC),Air Canada,1606,03:42,,,,,E90,,,"Direct",3751,146,330
- -,DEN,YVR,Air Canada (AC),Air Canada,1111,02:43,,,,,319 320 CR7 738,,,"Codeshare",3751,156,330
- -,DEN,YWG,Air Canada (AC),Air Canada,782,02:03,,,,,ERJ,,,"Codeshare",3751,160,330
- -,DEN,YXE,Air Canada (AC),Air Canada,855,02:12,,,,,ERJ,,,"Codeshare",3751,166,330
- -,DEN,YYC,Air Canada (AC),Air Canada,897,02:17,,,,,CRJ 738 320 739,,,"Codeshare",3751,178,330
- -,DEN,YYZ,Air Canada (AC),Air Canada,1311,03:07,,,,,E90,,,"Direct",3751,193,330
- -,DFW,YYZ,Air Canada (AC),Air Canada,1197,02:53,,,,,E75,,,"Direct",3670,193,330
- -,DKR,BRU,Air Canada (AC),Air Canada,2780,06:03,,,,,333,,,"Codeshare",1084,302,330
- -,DKR,CKY,Air Canada (AC),Air Canada,442,01:23,,,,,333,,,"Codeshare",1084,4162,330
- -,DLA,BRU,Air Canada (AC),Air Canada,3252,07:00,,,,,333,,,"Codeshare",897,302,330
- -,DLA,FIH,Air Canada (AC),Air Canada,701,01:54,,,,,333,,,"Codeshare",897,1020,330
- -,DOH,BAH,Air Canada (AC),Air Canada,91,00:40,,,,,333,,,"Codeshare",11051,2057,330
- -,DOH,FRA,Air Canada (AC),Air Canada,2848,06:11,,,,,333,,,"Codeshare",11051,340,330
- -,DTW,YYZ,Air Canada (AC),Air Canada,213,00:55,,,,,CRJ BEH,,,"Codeshare",3645,193,330
- -,DUB,YYZ,Air Canada (AC),Air Canada,3267,07:02,,,,,763,,,"Codeshare",599,193,330
- -,EBB,BRU,Air Canada (AC),Air Canada,3874,08:14,,,,,332,,,"Codeshare",1187,302,330
- -,EWR,MSY,Air Canada (AC),Air Canada,1165,02:49,,,,,319 E70 320 738,,,"Codeshare",3494,3861,330
- -,EWR,YEG,Air Canada (AC),Air Canada,2017,04:32,,,,,319,,,"Codeshare",3494,49,330
- -,EWR,YUL,Air Canada (AC),Air Canada,330,01:09,,,,,CRJ,,,"Codeshare",3494,146,330
- -,EWR,YVR,Air Canada (AC),Air Canada,2421,05:20,,,,,319,,,"Direct",3494,156,330
- -,EWR,YYC,Air Canada (AC),Air Canada,2016,04:31,,,,,E90,,,"Direct",3494,178,330
- -,EWR,YYZ,Air Canada (AC),Air Canada,347,01:11,,,,,E75 E90,,,"Direct",3494,193,330
- -,EZE,SCL,Air Canada (AC),Air Canada,706,01:54,,,,,763,,,"Direct",3988,2650,330
- -,FCO,YYZ,Air Canada (AC),Air Canada,4400,09:18,,,,,333,,,"Direct",1555,193,330
- -,FDF,YUL,Air Canada (AC),Air Canada,2257,05:00,,,,,319,,,"Direct",2878,146,330
- -,FIH,BRU,Air Canada (AC),Air Canada,3872,08:14,,,,,333,,,"Codeshare",1020,302,330
- -,FIH,DLA,Air Canada (AC),Air Canada,701,01:54,,,,,333,,,"Codeshare",1020,897,330
